,Usuario,Inicio de Conexi¢n
0,csegeview,8/28/2019 10:06
3,csegeview,8/28/2019 10:06
7,csegeview,8/28/2019 10:07
8,csegeview,8/28/2019 10:07
14,csegeview,8/28/2019 10:07
16,csegeview,8/28/2019 10:07
22,csegeview,8/28/2019 10:07
31,csegeview,8/28/2019 10:08
75,csegeview,8/28/2019 10:14
82,csegeview,8/28/2019 10:15
87,csegeview,8/28/2019 10:16
88,csegeview,8/28/2019 10:16
93,csegeview,8/28/2019 10:17
99,csegeview,8/28/2019 10:18
102,csegeview,8/28/2019 10:18
103,csegeview,8/28/2019 10:19
106,csegeview,8/28/2019 10:20
111,csegeview,8/28/2019 10:20
128,csegeview,8/28/2019 10:23
192,csegeview,8/28/2019 10:33
195,csegeview,8/28/2019 10:33
201,csegeview,8/28/2019 10:34
214,csegeview,8/28/2019 10:37
224,csegeview,8/28/2019 10:37
289,csegeview,8/28/2019 10:48
297,csegeview,8/28/2019 10:49
303,csegeview,8/28/2019 10:52
348,csegeview,8/28/2019 11:02
354,csegeview,8/28/2019 11:03
379,csegeview,8/28/2019 11:08
394,csegeview,8/28/2019 11:11
411,csegeview,8/28/2019 11:14
421,csegeview,8/28/2019 11:16
430,csegeview,8/28/2019 11:18
438,csegeview,8/28/2019 11:18
443,csegeview,8/28/2019 11:20
453,csegeview,8/28/2019 11:21
454,csegeview,8/28/2019 11:21
456,csegeview,8/28/2019 11:22
463,csegeview,8/28/2019 11:23
465,csegeview,8/28/2019 11:23
473,csegeview,8/28/2019 11:25
475,csegeview,8/28/2019 11:25
476,csegeview,8/28/2019 11:25
482,csegeview,8/28/2019 11:27
485,csegeview,8/28/2019 11:28
488,csegeview,8/28/2019 11:28
496,csegeview,8/28/2019 11:30
511,csegeview,8/28/2019 11:32
521,csegeview,8/28/2019 11:34
590,csegeview,8/28/2019 11:50
593,csegeview,8/28/2019 11:50
615,csegeview,8/28/2019 11:57
620,csegeview,8/28/2019 12:00
634,csegeview,8/28/2019 12:02
636,csegeview,8/28/2019 12:02
696,csegeview,8/28/2019 12:14
811,csegeview,8/28/2019 12:45
858,csegeview,8/28/2019 12:57
867,csegeview,8/28/2019 13:04
875,csegeview,8/28/2019 13:06
